;Properties;ITEM;ITEM TYPOLOGY;;;
MAGIC;+4 Random Magic Properties;Natalya's Reflection;Ring;A;;
MAGIC;+4 Random Magic Properties;Natalya's Sight;Helm;A;;
MAGIC;+2 Random Magic Properties;Natalya's Slayer (Demon Hunter);Hand Crossbow;W;;
MAGIC;+2 Random Magic Properties;Neanderthal;Mace;W;;
MAGIC;+4 Random Magic Properties;Nemesis Bracers;Bracers;A;;
MAGIC;+4 Random Magic Properties;Night's Reaping (Barbarian);Mighty Weapon;W;;
MAGIC;+3 Random Magic Properties;Nutcracker;Mace;W;;
MAGIC;+1 Random Magic Properties;Obsidian Ring of the Zodiac;Ring;A;;
MAGIC;+2 Random Magic Properties;Oculus Ring;Ring;A;;
MAGIC;+3 Random Magic Properties;Odyn Son;Mace;W;;
MAGIC;+4 Random Magic Properties;Ouroboros;Amulet;A;;
MAGIC;+3 Random Magic Properties;Overwhelming Desire (Horadric Cache);Amulet;A;;
MAGIC;+3 Random Magic Properties;Pandemonium Loop (Horadric Cache);Ring;A;;
MAGIC;+4 Random Magic Properties;Pauldrons of Akkhan (Crusader);Shoulders;A;;
MAGIC;+2 Random Magic Properties;Pauldrons of the Skeleton King (Horadric Cache);Shoulders;A;;
MAGIC;+9 Random Magic Properties;Penders Purchase;Gloves;A;;
MAGIC;+3 Random Magic Properties;Pig Sticker;Dagger;W;;
MAGIC;+8 Random Magic Properties;Piro Marella (Crusader);Crusader Shield;A;;
MAGIC;+4 Random Magic Properties;Pledge of Caldeum;Polearm;W;;
MAGIC;+4 Random Magic Properties;Pox Faulds;Pants;A;;
MAGIC;+3 Random Magic Properties;Pride of Cassius (Barbarian);Mighty Belt;A;;
MAGIC;+3 Random Magic Properties;Pride of the Invoker;Gloves;A;;
MAGIC;+2 Random Magic Properties;Pride's Fall (Horadric Cache);Helm;A;;
MAGIC;+3 Random Magic Properties;Profane Pauldrons;Shoulders;A;;
MAGIC;+3 Random Magic Properties;Promise of Glory;Bracers;A;;
MAGIC;+4 Random Magic Properties;Pull of the Earth;Gloves;A;;
MAGIC;+3 Random Magic Properties;Pus Spitter;Crossbow;W;;
MAGIC;+2 Random Magic Properties;Puzzle Ring;Ring;A;;
MAGIC;+4 Random Magic Properties;Quetzalcoatl (Witch Doctor);Voodoo Mask;A;;
MAGIC;+2 Random Magic Properties;Rabid Strike (Monk);Fist Weapon;W;;
MAGIC;+4 Random Magic Properties;Raekor's Breeches (Barbarian);Pants;A;;
MAGIC;+4 Random Magic Properties;Raekor's Burden (Barbarian);Shoulders;A;;
MAGIC;+4 Random Magic Properties;Marauder's Carapace (Demon Hunter);Chest Armor;A;;
MAGIC;+4 Random Magic Properties;Raekor's Striders (Barbarian);Boots;A;;
MAGIC;+4 Random Magic Properties;Raekor's Will (Barbarian);Helm;A;;
MAGIC;+4 Random Magic Properties;Raekor's Wraps (Barbarian);Gloves;A;;
MAGIC;+3 Random Magic Properties;Rakoff's Glass of Life;Amulet;A;;
MAGIC;+3 Random Magic Properties;Razor Strop;Belt;A;;
MAGIC;+8 Random Magic Properties;Reaper's Wraps;Bracers;A;;
MAGIC;+3 Random Magic Properties;Rechel's Ring of Larceny;Ring;A;;
MAGIC;+4 Random Magic Properties;Relic of Akarat;Templar Relic;A;;
MAGIC;+3 Random Magic Properties;Remorseless (Barbarian) (Season 1);Mighty Weapon;W;;
MAGIC;+4 Random Magic Properties;Restraint;Ring;A;;
MAGIC;+3 Random Magic Properties;Rhen'ho Flayer (Witch Doctor);Ceremonial Knife;W;;
MAGIC;+4 Random Magic Properties;Ribald Etchings;Scoundrel Token;A;;
MAGIC;+3 Random Magic Properties;Rimeheart;Sword;W;;
MAGIC;+2 Random Magic Properties;Ring of Royal Grandeur (Horadric Cache);Ring;A;;
MAGIC;+4 Random Magic Properties;Rogar's Huge Stone;Ring;A;;
MAGIC;+4 Random Magic Properties;Raekor's Heart (Barbarian);Chest Armor;A;;
MAGIC;+4 Random Magic Properties;Roland's Determination (Crusader);Pants;A;;
MAGIC;+4 Random Magic Properties;Roland's Grasp (Crusader);Gloves;A;;
MAGIC;+4 Random Magic Properties;Roland's Mantle (Crusader);Shoulders;A;;
MAGIC;+4 Random Magic Properties;Roland's Stride (Crusader);Boots;A;;
MAGIC;+4 Random Magic Properties;Roland's Visage (Crusader);Helm;A;;
MAGIC;+3 Random Magic Properties;Rondal's Locket;Amulet;A;;
MAGIC;+5 Random Magic Properties;Rozpedin's Force (Monk);Daibo;W;;
MAGIC;+4 Random Magic Properties;Sabatons of Akkhan (Crusader);Boots;A;;
MAGIC;+3 Random Magic Properties;Sacred Harvester (Witch Doctor) (Season 1);Ceremonial Knife;W;;
MAGIC;+3 Random Magic Properties;Saffron Wrap;Belt;A;;
MAGIC;+5 Random Magic Properties;Sage's Apogee;Helm;A;;
MAGIC;+6 Random Magic Properties;Sage's Passage;Boots;A;;
MAGIC;+6 Random Magic Properties;Sage's Purchase;Gloves;A;;
MAGIC;+3 Random Magic Properties;Salvation (Crusader) (Horadric Cache);Crusader Shield;A;;
MAGIC;+2 Random Magic Properties;Sanguinary Vambraces (Horadric Cache);Bracers;A;;
MAGIC;+4 Random Magic Properties;Sash of Knives;Belt;A;;
MAGIC;+4 Random Magic Properties;Scales of the Dancing Serpent (Monk);Pants;A;;
MAGIC;+4 Random Magic Properties;Scarbringer (Monk);Fist Weapon;W;;
MAGIC;+3 Random Magic Properties;Schaefer's Hammer;Mace 2H;W;;
MAGIC;+3 Random Magic Properties;Scourge;Sword 2H;W;;
MAGIC;+3 Random Magic Properties;Scrimshaw;Spear;W;;
MAGIC;+3 Random Magic Properties;Sebor's Nightmare;Belt;A;;
MAGIC;+4 Random Magic Properties;See No Evil (Monk);Spirit Stone;A;;
MAGIC;+3 Random Magic Properties;Serpent's Sparker (Wizard);Wand;W;;
MAGIC;+1 Random Magic Property;Sever;Sword;W;;
MAGIC;+4 Random Magic Properties;Shackles of the Invoker;Bracers;A;;
MAGIC;+3 Random Magic Properties;Shard of Hate;Sword;W;;
MAGIC;+4 Random Magic Properties;Shenlong's Fist of Legend (Monk);Fist Weapon;W;;
MAGIC;+4 Random Magic Properties;Shenlong's Relentless Assault (Monk);Fist Weapon;W;;
MAGIC;+4 Random Magic Properties;Roland's Bearing (Crusader);Chest Armor;A;;
MAGIC;+2 Random Magic Properties;Shukrani's Triumph (Witch Doctor);Mojo;A;;
MAGIC;+4 Random Magic Properties;Sin Seekers (Demon Hunter);Quiver;A;;
MAGIC;+4 Random Magic Properties;Skeleton Key;Scoundrel Token;A;;
MAGIC;+6 Random Magic Properties;Skelon's Deceit;Pants;A;;
MAGIC;+2 Random Magic Properties;Skorn;Axe 2H;W;;
MAGIC;+3 Random Magic Properties;Skull Grasp;Ring;A;;
MAGIC;+2 Random Magic Properties;Skull of Resonance;Helm;A;;
MAGIC;+3 Random Magic Property;Sky Splitter;Axe;W;;
MAGIC;+2 Random Magic Properties;Skycutter;Sword;W;;
MAGIC;+3 Random Magic Properties;Skywarden;Mace 2H;W;;
MAGIC;+3 Random Magic Properties;Slave Bonds;Bracers;A;;
MAGIC;+3 Random Magic Properties;Sledge Fist (Monk);Fist Weapon;W;;
MAGIC;+2 Random Magic Properties;Sledge of Athskeleng;Mace 2H;W;;
MAGIC;+4 Random Magic Properties;Slipka’s Letter Opener (Season 1);Scoundrel Token;A;;
MAGIC;+3 Random Magic Properties;Slorak's Madness (Wizard);Wand;W;;
MAGIC;+4 Random Magic Properties;Smoking Thurible;Enchantress Focus;A;;
MAGIC;+3 Random Magic Properties;Solanium;Mace;W;;
MAGIC;+3 Random Magic Properties;Soulsmasher (Horadric Cache);Mace 2H;W;;
MAGIC;+4 Random Magic Properties;Spaulders of Zakara;Shoulders;A;;
MAGIC;+4 Random Magic Properties;Spines of Seething Hatred (Demon Hunter);Quiver;A;;
MAGIC;+4 Random Magic Properties;Spires of the Earth;Shoulders;A;;
MAGIC;+6 Random Magic Properties;Spite (Witch Doctor);Mojo;A;;
MAGIC;+3 Random Magic Properties;Split Tusk (Witch Doctor);Voodoo Mask;A;;
MAGIC;+3 Random Magic Properties;Squirt's Necklace;Amulet;A;;
MAGIC;+4 Random Magic Properties;St. Archew's Gage;Gloves;A;;
MAGIC;+2 Random Magic Properties;Staff of Kyro (Monk);Daibo;W;;
MAGIC;+3 Random Magic Properties;Stalgard's Decimator;Sword 2H;W;;
MAGIC;+3 Random Magic Properties;Standoff;Polearm;W;;
MAGIC;+4 Random Magic Properties;Starfire (Wizard);Wand;W;;
MAGIC;+2 Random Magic Properties;Starmetal Kukri (Witch Doctor);Ceremonial Knife;W;;
MAGIC;+4 Random Magic Properties;Steady Strikers;Bracers;A;;
MAGIC;+3 Random Magic Properties;Stolen Ring;Ring;A;;
MAGIC;+4 Random Magic Properties;Stone Gauntlets;Gloves;A;;
MAGIC;+3 Random Magic Properties;Stone of Jordan;Ring;A;;
MAGIC;+3 Random Magic Properties;Storm Crow (Wizard);Wizard Hat;A;;
MAGIC;+4 Random Magic Properties;Stormshield;Shield;A;;
MAGIC;+4 Random Magic Properties;String of Ears;Belt;A;;
MAGIC;+2 Random Magic Properties;Strongarm Bracers;Bracers;A;;
MAGIC;+3 Random Magic Properties;Sublime Conviction (Crusader);Crusader Shield;A;;
MAGIC;+2 Random Magic Properties;Sun Keeper;Mace;W;;
MAGIC;+4 Random Magic Properties;Sunder;Mace 2H;W;;
MAGIC;+4 Random Magic Properties;Sunwuko's Balance;Shoulders;A;;
MAGIC;+4 Random Magic Properties;Sunwuko's Crown;Helm;A;;
MAGIC;+4 Random Magic Properties;Sunwuko's Paws;Gloves;A;;
MAGIC;+4 Random Magic Properties;Sunwuko's Shines;Amulet;A;;
MAGIC;+3 Random Magic Properties;Swamp Land Waders;Pants;A;;
MAGIC;+3 Random Magic Properties;Swiftmount (Crusader);Flail;W;;
MAGIC;+3 Random Magic Properties;Sydyru Crust;Bow;W;;
MAGIC;+3 Random Magic Properties;Tal Rasha's Allegiance;Amulet;A;;
MAGIC;+4 Random Magic Properties;Tal Rasha's Brace;Belt;A;;
MAGIC;+3 Random Magic Properties;Tal Rasha's Guise of Wisdom;Helm;A;;
MAGIC;+4 Random Magic Properties;Shi Mizu's Haori;Chest Armor;A;;
MAGIC;+3 Random Magic Properties;Tal Rasha's Unwavering Glare (Wizard);Source;A;;
MAGIC;+4 Random Magic Properties;Talisman of Aranoch;Amulet;A;;
MAGIC;+3 Random Magic Properties;Tasker and Theo;Gloves;A;;
MAGIC;+3 Random Magic Properties;Telranden's Hand;Mace;W;;
MAGIC;+3 Random Magic Properties;The Ancient Bonesaber of Zumakalis;Sword;W;;
MAGIC;+2 Random Magic Properties;The Barber;Dagger;W;;
MAGIC;+2 Random Magic Properties;The Broken Staff;Staff;W;;
MAGIC;+3 Random Magic Properties;The Burning Axe of Sankis;Axe;W;;
MAGIC;+4 Random Magic Properties;The Butcher's Sickle;Axe;W;;
MAGIC;+4 Random Magic Properties;The Cloak of the Garwulf (Demon Hunter);Cloak;A;;
MAGIC;+4 Random Magic Properties;The Compass Rose;Ring;A;;
MAGIC;+3 Random Magic Properties;The Crudest Boots;Boots;A;;
MAGIC;+3 Random Magic Properties;The Dagger of Darts (Witch Doctor);Ceremonial Knife;W;;
MAGIC;+3 Random Magic Properties;The Ess of Johan;Amulet;A;;
MAGIC;+3 Random Magic Properties;The Executioner;Axe 2H;W;;
MAGIC;+4 Random Magic Properties;The Eye of the Storm (Monk);Spirit Stone;A;;
MAGIC;+4 Random Magic Properties;The Final Witness (Crusader);Crusader Shield;A;;
MAGIC;+3 Random Magic Properties;The Fist of Az'Turrasq (Monk);Fist Weapon;W;;
MAGIC;+4 Random Magic Properties;The Flavor of Time;Amulet;A;;
MAGIC;+3 Random Magic Properties;The Flow of Eternity (Monk);Daibo;W;;
MAGIC;+3 Random Magic Properties;The Furnace;Mace 2H;W;;
MAGIC;+2 Random Magic Properties;The Gavel of Judgment (Barbarian);Mighty Weapon 2H;W;;
MAGIC;+2 Random Magic Properties;The Gidbinn (Witch Doctor);Ceremonial Knife;W;;
MAGIC;+3 Random Magic Properties;The Grand Vizier;Staff;W;;
MAGIC;+2 Random Magic Properties;The Grandfather;Sword 2H;W;;
MAGIC;+3 Random Magic Properties;The Grin Reaper (Witch Doctor);Voodoo Mask;A;;
MAGIC;+4 Random Magic Properties;The Helm of Rule;Helm;A;;
MAGIC;+3 Random Magic Properties;The Laws of Seph (Monk);Spirit Stone;A;;
MAGIC;+3 Random Magic Properties;The Magistrate (Wizard);Wizard Hat;A;;
MAGIC;+3 Random Magic Properties;The Mind's Eye (Monk);Spirit Stone;A;;
MAGIC;+3 Random Magic Properties;The Mortal Drama (Crusader);Flail 2H;W;;
MAGIC;+4 Random Magic Properties;The Ninth Cirri Satchel (Demon Hunter);Quiver;A;;
MAGIC;+2 Random Magic Properties;The Oculus (Wizard);Source;A;;
MAGIC;+4 Random Magic Properties;The Paddle (Monk);Daibo;W;;
MAGIC;+3 Random Magic Properties;The Raven's Wing;Bow;W;;
MAGIC;+2 Random Magic Properties;Tal Rasha's Relentless Pursuit;Chest Armor;A;;
MAGIC;+4 Random Magic Properties;The Shadow's Coil;Pants;A;;
MAGIC;+4 Random Magic Properties;The Shadow's Grasp;Gloves;A;;
MAGIC;+4 Random Magic Properties;The Shadow's Heels;Boots;A;;
MAGIC;+3 Random Magic Properties;The Slanderer;Sword;W;;
MAGIC;+2 Random Magic Properties;The Smoldering Core;Staff;W;;
MAGIC;+2 Random Magic Properties;The Spider Queen's Grasp (Witch Doctor);Ceremonial Knife;W;;
MAGIC;+3 Random Magic Properties;The Star of Azkaranth;Amulet;A;;
MAGIC;+3 Random Magic Properties;The Sultan of Blinding Sand;Sword 2H;W;;
MAGIC;+2 Random Magic Properties;The Swami (Wizard);Wizard Hat;A;;
MAGIC;+4 Random Magic Properties;The Tall Man's Finger;Ring;A;;
MAGIC;+2 Random Magic Properties;The Three Hundredth Spear;Spear;W;;
MAGIC;+3 Random Magic Properties;The Tormentor;Staff;W;;
MAGIC;+4 Random Magic Properties;The Traveler's Pledge;Amulet;A;;
MAGIC;+3 Random Magic Properties;The Undisputed Champion (Barbarian) (Season 2);Mighty Belt;A;;
MAGIC;+4 Random Magic Properties;The Wailing Host;Ring;A;;
MAGIC;+4 Random Magic Properties;The Witching Hour;Belt;A;;
MAGIC;+3 Random Magic Properties;The Zweihander;Sword 2H;W;;
MAGIC;+1 Random Magic Property;Thing of the Deep (Witch Doctor);Mojo;A;;
MAGIC;+2 Random Magic Properties;Thunderfury, Blessed Blade of the Windseeker;Sword;W;;
MAGIC;+1 Random Magic Property;Thundergod's Vigor;Belt;A;;
MAGIC;+4 Random Magic Properties;Tiklandian Visage (Witch Doctor);Voodoo Mask;A;;
MAGIC;+4 Random Magic Properties;Trag'Oul Coils;Bracers;A;;
MAGIC;+3 Random Magic Properties;Triumvirate (Wizard);Source;A;;
MAGIC;+4 Random Magic Properties;The Shadow's Bane;Chest Armor;A;;
MAGIC;+4 Random Magic Properties;Tzo Krin's Gaze (Monk);Spirit Stone;A;;
MAGIC;+3 Random Magic Properties;Uhkapian Serpent (Witch Doctor);Mojo;A;;
MAGIC;+3 Random Magic Properties;Unbound Bolt;Bow;W;;
MAGIC;+2 Random Magic Properties;Unity;Ring;A;;
MAGIC;+4 Random Magic Properties;Unrelenting Phalanx (Crusader);Crusader Shield;A;;
MAGIC;+3 Random Magic Properties;Uskang;Bow;W;;
MAGIC;+4 Random Magic Properties;Utar's Roar;Axe;W;;
MAGIC;+4 Random Magic Properties;Vadim’s Surge (Season 1);Enchantress Focus;A;;
MAGIC;+2 Random Magic Properties;Valthek's Rebuke;Staff;W;;
MAGIC;+3 Random Magic Properties;Velvet Camaral (Wizard);Wizard Hat;A;;
MAGIC;+3 Random Magic Properties;Vengeful Wind (Monk) (Season 1);Fist Weapon;W;;
MAGIC;+3 Random Magic Properties;Vigilance;Polearm;W;;
MAGIC;+4 Random Magic Properties;Vigilante Belt;Belt;A;;
MAGIC;+5 Random Magic Properties;Vile Ward;Shoulders;A;;
MAGIC;+4 Random Magic Properties;Visage of Giyua (Witch Doctor);Voodoo Mask;A;;
MAGIC;+3 Random Magic Properties;Vo'Toyias Spiker;Shield;A;;
MAGIC;+3 Random Magic Properties;Tyrael's Might;Chest Armor;A;;
MAGIC;+4 Random Magic Properties;Vyr's Fantastic Finery;Pants;A;;
MAGIC;+4 Random Magic Properties;Vyr's Grasping Gauntlets;Gloves;A;;
MAGIC;+4 Random Magic Properties;Vyr's Swaggering Stance;Boots;A;;
MAGIC;+5 Random Magic Properties;Wall of Man;Shield;A;;
MAGIC;+3 Random Magic Properties;Wand of Woh (Wizard);Wand;W;;
MAGIC;+5 Random Magic Properties;War of the Dead (Barbarian);Mighty Weapon 2H;W;;
MAGIC;+3 Random Magic Properties;Warmonger;Sword 2H;W;;
MAGIC;+3 Random Magic Properties;Warstaff of General Quang (Monk);Daibo;W;;
MAGIC;+2 Random Magic Properties;Warzechian Armguards;Bracers;A;;
MAGIC;+4 Random Magic Properties;Weight of the Earth;Pants;A;;
MAGIC;+2 Random Magic Properties;Wildwood;Sword;W;;
MAGIC;+3 Random Magic Properties;Windforce;Bow;W;;
MAGIC;+3 Random Magic Properties;Winter Flurry (Wizard);Source;A;;
MAGIC;+3 Random Magic Properties;Wizardspike;Dagger;W;;
MAGIC;+3 Random Magic Properties;Wojahnni Assaulter;Crossbow;W;;
MAGIC;+3 Random Magic Properties;Won Khim Lau (Monk);Fist Weapon;W;;
MAGIC;+2 Random Magic Properties;Wormwood (Season 2);Staff;W;;
MAGIC;+2 Random Magic Properties;Wrath of the Bone King;Mace 2H;W;;
MAGIC;+4 Random Magic Properties;Wyrdward;Ring;A;;
MAGIC;+3 Random Magic Properties;Xephirian Amulet;Amulet;A;;
MAGIC;+4 Random Magic Properties;Vyr's Astonishing Aura;Chest Armor;A;;
MAGIC;+4 Random Magic Properties;Zunimassa's Pox;Ring;A;;
MAGIC;+2 Random Magic Properties;Zunimassa's String of Skulls (Witch Doctor);Mojo;A;;
MAGIC;+4 Random Magic Properties;Zunimassa's Trail;Boots;A;;
MAGIC;+4 Random Magic Properties;Zunimassa's Vision (Witch Doctor);Voodoo Mask;A;;
MAGIC;+4 Random Magic Properties;Accursed Visage (Demon Hunter);Helm;A;;
MAGIC;+4 Random Magic Properties;Helm of the Wastes (Barbarian);Helm;A;;
MAGIC;+4 Random Magic Properties;Shrouded Mask (Wizard);Helm;A;;
MAGIC;+3 Random Magic Properties;Crown of the Primus (Wizard);Wizard Hat;A;;
MAGIC;+4 Random Magic Properties;Dashing Pauldrons of Despair (Wizard);Shoulders;A;;
MAGIC;+4 Random Magic Properties;Pauldrons of the Wastes (Barbarian);Shoulders;A;;
MAGIC;+4 Random Magic Properties;Unsanctified Shoulders (Demon Hunter);Shoulders;A;;
MAGIC;+4 Random Magic Properties;Zunimassa's Marrow;Chest Armor;A;;
MAGIC;+4 Random Magic Properties;Cuirass of the Wastes (Barbarian);Chest Armor;A;;
MAGIC;+4 Random Magic Properties;Harness of Truth (Wizard);Chest Armor;A;;
MAGIC;+4 Random Magic Properties;Cage of the Hellborn (Demon Hunter);Cloak;A;;
MAGIC;+3 Random Magic Properties;Drakon's Lesson;Bracers;A;;
MAGIC;+3 Random Magic Properties;Ranslor's Folly (Season 3);Bracers;A;;
MAGIC;+3 Random Magic Properties;Spirit Guards (Season 3);Bracers;A;;
MAGIC;+2 Random Magic Properties;Belt of the Trove (Season 2);Belt;A;;
MAGIC;+3 Random Magic Properties;Halo of Arlyse (Season 2);Ring;A;;
MAGIC;+3 Random Magic Properties;Odyssey's End (Season 2);Bow;W;;
MAGIC;+4 Random Magic Properties;Inna's Hold;Gloves;A;;
MAGIC;+4 Random Magic Properties;Natalya's Touch;Gloves;A;;
MAGIC;+4 Random Magic Properties;Tal Rasha's Grasp;Gloves;A;;
MAGIC;+4 Random Magic Properties;Zunimassa's Finger Wraps;Gloves;A;;
MAGIC;+4 Random Magic Properties;Fiendish Grips (Demon Hunter);Gloves;A;;
MAGIC;+4 Random Magic Properties;Fierce Gauntlets (Wizard);Gloves;A;;
MAGIC;+4 Random Magic Properties;Gauntlet of the Wastes (Barbarian);Gloves;A;;
MAGIC;+3 Random Magic Properties;Blessed of Haull;Belt;A;;
MAGIC;+3 Random Magic Properties;Belt of Transcendence;Belt;A;;
MAGIC;+3 Random Magic Properties;Crashing Rain;Belt;A;;
MAGIC;+3 Random Magic Properties;Haunting Girdle;Belt;A;;
MAGIC;+3 Random Magic Properties;Omnislash;Belt;A;;
MAGIC;+4 Random Magic Properties;Omryn's Chain;Belt;A;;
MAGIC;+4 Random Magic Properties;Immortal King's Stature;Pants;A;;
MAGIC;+4 Random Magic Properties;Natalya's Leggings;Pants;A;;
MAGIC;+4 Random Magic Properties;Tal Rasha's Stride;Pants;A;;
MAGIC;+4 Random Magic Properties;Zunimassa's Cloth;Pants;A;;
MAGIC;+4 Random Magic Properties;Leg Guards of Mistery (Wizard);Pants;A;;
MAGIC;+4 Random Magic Properties;Tasset of the Wastes (Barbarian);Pants;A;;
MAGIC;+4 Random Magic Properties;Unholy Plates (Demon Hunter);Pants;A;;
MAGIC;+3 Random Magic Properties;Nilfur's Boast;Boots;A;;
MAGIC;+4 Random Magic Properties;Inna's Sandals;Boots;A;;
MAGIC;+4 Random Magic Properties;Striders of Destiny (Wizard);Boots;A;;
MAGIC;+4 Random Magic Properties;Hell Walkers (Demon Hunter);Boots;A;;
MAGIC;+4 Random Magic Properties;Sabaton of the Wastes (Barbarian);Boots;A;;
MAGIC;+4 Random Magic Properties;Hellfire Ring (Strenght);Ring;A;;
MAGIC;+4 Random Magic Properties;Hellfire Ring (Dexterity);Ring;A;;
MAGIC;+4 Random Magic Properties;Hellfire Ring (Intelligence);Ring;A;;
MAGIC;+4 Random Magic Properties;Hellfire Ring (Vitality);Ring;A;;
MAGIC;+4 Random Magic Properties;Arcstone;Ring;A;;
MAGIC;+3 Random Magic Properties;The Short Man's Finger;Ring;A;;
MAGIC;+2 Random Magic Properties;Convention of Elements;Ring;A;;
MAGIC;+3 Random Magic Properties;Akarat's Awakening (Crusader);Crusader Shield;A;;
MAGIC;+3 Random Magic Properties;Eun-Jang-Do;Dagger;W;;
MAGIC;+3 Random Magic Properties;In-geom;Sword;W;;
MAGIC;+3 Random Magic Properties;Blood Brother;Sword 2H;W;;
MAGIC FIND;25-50% Better Chance of Finding Magical Items;Nagelring;Ring;A;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;Akanesh, the Herald of Righteousness;Spear;W;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;Ancestors' Grace;Amulet;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Ancient Parthan Defenders;Bracers;A;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;Andariel's Visage;Helm;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Angel Hair Braid;Belt;A;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;Arreat's Law;Spear;W;;
MAIN STATS;Dexterity/Strength/Intelligence +946-1125;Arthef's Spark of Life;Mace 2H;W;;
MAIN STATS;Dexterity/Intelligence +946-1125;Autumn's Call;Staff;W;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Avarice Band (Horadric Cache);Ring;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Band of Hollow Whispers;Ring;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Band of the Rue Chambers;Ring;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Band of Untold Secrets;Ring;A;;
MAIN STATS;Dexterity/Strength/Intelligence +946-1125;Blackguard;Sword 2H;W;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;Blackthorne's Duncraig Cross;Amulet;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Blackthorne's Jousting Mail;Pants;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Blackthorne's Notched Belt;Belt;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Blackthorne's Spurs;Boots;A;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;Blind Faith;Helm;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Boj Anglers;Boots;A;;
MAIN STATS;Dexterity/Strength/Intelligence +946-1125;Bovine Bardiche;Polearm;W;;
MAIN STATS;Dexterity/Strength/Intelligence +626-750;Broken Crown;Helm;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Broken Promises;Ring;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Bul-Kathos's Wedding Band;Ring;A;;
MAIN STATS;Dexterity/Strength/Intelligence +416-500;Burden of the Invoker;Shoulders;A;;
MAIN STATS;Dexterity/Strength/Intelligence +946-1125;Burst of Wrath (Horadric Cache);Axe 2H;W;;
MAIN STATS;Dexterity/Strength/Intelligence +946-1125;Butcher's Carver;Axe 2H;W;;
MAIN STATS;Dexterity/Strength/Intelligence +946-1125;Cam's Rebuttal;Sword 2H;W;;
